127.0.0.1 - - [10/Jul/2020:12:32:36 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:32:39 +0900] "GET /semitest/index.html HTTP/1.1" 200 49013
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:32:39 +0900] "GET /semitest/css/font-awesome.min.css HTTP/1.1" 200 31000
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:32:39 +0900] "GET /semitest/css/bootstrap.min.css HTTP/1.1" 200 159515
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:32:39 +0900] "GET /semitest/css/elegant-icons.css HTTP/1.1" 200 25252
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:32:39 +0900] "GET /semitest/css/themify-icons.css HTTP/1.1" 200 16450
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:32:39 +0900] "GET /semitest/css/nice-select.css HTTP/1.1" 200 4007
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:32:39 +0900] "GET /semitest/css/jquery-ui.min.css HTTP/1.1" 200 32076
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:32:39 +0900] "GET /semitest/css/owl.carousel.min.css HTTP/1.1" 200 3351
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:32:39 +0900] "GET /semitest/css/magnific-popup.css HTTP/1.1" 200 6951
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:32:39 +0900] "GET /semitest/css/slicknav.min.css HTTP/1.1" 200 2505
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:32:39 +0900] "GET /semitest/css/style.css HTTP/1.1" 200 65914
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:32:39 +0900] "GET /semitest/js/jquery-3.3.1.min.js HTTP/1.1" 200 86927
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:32:39 +0900] "GET /semitest/js/bootstrap.min.js HTTP/1.1" 200 60010
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:32:39 +0900] "GET /semitest/js/jquery.magnific-popup.min.js HTTP/1.1" 200 20216
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:32:39 +0900] "GET /semitest/js/jquery.nice-select.min.js HTTP/1.1" 200 2942
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:32:39 +0900] "GET /semitest/js/jquery.slicknav.js HTTP/1.1" 200 20977
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:32:39 +0900] "GET /semitest/js/jquery-ui.min.js HTTP/1.1" 200 253669
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:32:39 +0900] "GET /semitest/js/owl.carousel.min.js HTTP/1.1" 200 44342
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:32:39 +0900] "GET /semitest/js/main.js HTTP/1.1" 200 9895
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:32:39 +0900] "GET /semitest/img/flag.png HTTP/1.1" 200 2410
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:32:39 +0900] "GET /semitest/img/hero/dot-1.jpg HTTP/1.1" 200 5515
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:32:39 +0900] "GET /semitest/img/hero/dot-2.jpg HTTP/1.1" 200 5248
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:32:39 +0900] "GET /semitest/img/hero/dot-3.jpg HTTP/1.1" 200 5287
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:32:39 +0900] "GET /semitest/img/feature/f-author-2.jpg HTTP/1.1" 200 2613
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:32:39 +0900] "GET /semitest/img/feature/f-author-1.jpg HTTP/1.1" 200 4389
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:32:39 +0900] "GET /semitest/img/feature/f-author-3.jpg HTTP/1.1" 200 3737
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:32:39 +0900] "GET /semitest/img/properties/properties-1.jpg HTTP/1.1" 200 80413
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:32:39 +0900] "GET /semitest/img/properties/properties-2.jpg HTTP/1.1" 200 39520
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:32:39 +0900] "GET /semitest/img/agent/agent-1.jpg HTTP/1.1" 200 12580
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:32:39 +0900] "GET /semitest/img/agent/agent-2.jpg HTTP/1.1" 200 8913
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:32:39 +0900] "GET /semitest/img/agent/agent-3.jpg HTTP/1.1" 200 12400
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:32:39 +0900] "GET /semitest/img/agent/agent-4.jpg HTTP/1.1" 200 14301
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:32:39 +0900] "GET /semitest/img/agent/agent-5.jpg HTTP/1.1" 200 20860
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:32:39 +0900] "GET /semitest/img/blog/latest-1.jpg HTTP/1.1" 200 21021
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:32:39 +0900] "GET /semitest/img/blog/latest-2.jpg HTTP/1.1" 200 38378
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:32:39 +0900] "GET /semitest/img/blog/latest-3.jpg HTTP/1.1" 200 26474
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:32:39 +0900] "GET /semitest/img/partner/partner-1.png HTTP/1.1" 200 3384
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:32:39 +0900] "GET /semitest/img/partner/partner-3.png HTTP/1.1" 200 3823
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:32:39 +0900] "GET /semitest/img/howit-works/howit-works-1.png HTTP/1.1" 200 6229
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:32:39 +0900] "GET /semitest/img/partner/partner-4.png HTTP/1.1" 200 3636
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:32:39 +0900] "GET /semitest/img/howit-works/howit-works-2.png HTTP/1.1" 200 5171
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:32:39 +0900] "GET /semitest/img/howit-works/howit-works-3.png HTTP/1.1" 200 5620
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:32:39 +0900] "GET /semitest/img/partner/partner-2.png HTTP/1.1" 200 2007
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:32:39 +0900] "GET /semitest/img/logo.png HTTP/1.1" 200 2187
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:32:39 +0900] "GET /semitest/img/partner/partner-5.png HTTP/1.1" 200 3520
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:32:39 +0900] "GET /semitest/img/footer-logo.png HTTP/1.1" 200 1994
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:32:39 +0900] "GET /semitest/fonts/themify.woff?-fvbane HTTP/1.1" 200 56108
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:32:39 +0900] "GET /semitest/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
